"indegree","outdegree"
42,27
29,41
35,56
46,55
59,60
20,21
46,66
10,24
82,68
30,38
45,54
41,56
47,61
42,64
27,37
87,14
70,82
27,34
47,50
49,55
50,72
43,30
34,40
68,35
84,38
28,41
67,50
58,30
27,27
51,62
38,33
55,30
38,57
68,21
54,58
41,44
22,40
85,30
51,59
61,28
63,63
48,52
77,71
43,58
44,59
52,52
25,65
20,23
34,54
28,31
59,44
66,69
49,35
44,24
57,65
39,38
75,36
76,55
78,64
92,39
49,39
55,37
62,50
65,52
26,47
20,30
46,31
90,47
30,54
44,62
29,51
16,41
32,63
60,81
30,26
32,30
20,27
41,66
28,40
58,47
40,60
15,32
32,55
30,41
41,76
11,25
57,60
37,31
43,56
37,58
46,41
68,33
10,41
34,40
36,37
48,40
40,47
52,47
34,39
67,51
25,21
28,40
33,57
28,24
91,49
28,37
87,52
66,82
28,43
65,47
45,38
15,30
45,27
43,70
27,32
53,25
15,44
42,56
32,57
59,76
32,41
35,36
54,44
52,41
52,67
8,11
78,48
39,53
59,42
47,34
61,60
24,21
59,46
61,33
